-10;35;0;0;0;1
-9.98;35;0.02;0;0;1
-9.96;35;0.04;0;0;1
-9.94;35;0.06;0;0;1
-9.92;35;0.08;0;0;1
-9.9;35;0.1;0;0;1
-9.88;35;0.12;0;0;1
-9.86;35;0.14;0;0;1
-9.84;35;0.16;0;0;1
-9.82;35;0.18;0;0;1
-9.8;35;0.2;0;0;1
-9.78;35;0.22;0;0;1
-9.76;35;0.24;0;0;1
-9.74;35;0.26;0;0;1
-9.72;35;0.28;0;0;1
-9.7;35;0.3;0;0;1
-9.68;35;0.32;0;0;1
-9.66;35;0.34;0;0;1
-9.64;35;0.36;0;0;1
-9.62;35;0.38;0;0;1
-9.6;35;0.4;0;0;1
-9.58;35;0.42;0;0;1
-9.56;35;0.44;0;0;1
-9.54;35;0.46;0;0;1
-9.52;35;0.48;0;0;1
-9.5;35;0.5;0;0;1
-9.48;35;0.52;0;0;1
-9.46;35;0.54;0;0;1
-9.44;35;0.56;0;0;1
-9.42;35;0.58;0;0;1
-9.4;35;0.6;0;0;1
-9.38;35;0.62;0;0;1
-9.36;35;0.64;0;0;1
-9.34;35;0.66;0;0;1
-9.32;35;0.68;0;0;1
-9.3;35;0.7000000000000001;0;0;1
-9.28;35;0.72;0;0;1
-9.26;35;0.74;0;0;1
-9.24;35;0.76;0;0;1
-9.22;35;0.78;0;0;1
-9.2;35;0.8;0;0;1
-9.18;35;0.8200000000000001;0;0;1
-9.16;35;0.84;0;0;1
-9.14;35;0.86;0;0;1
-9.12;35;0.88;0;0;1
-9.1;35;0.9;0;0;1
-9.08;35;0.92;0;0;1
-9.06;35;0.9400000000000001;0;0;1
-9.04;35;0.96;0;0;1
-9.02;35;0.98;0;0;1
-9;35;1;0;0;1
-8.98;35;1.02;0;0;1
-8.96;35;1.04;0;0;1
-8.94;35;1.06;0;0;1
-8.92;35;1.08;0;0;1
-8.9;35;1.1;0;0;1
-8.879999999999999;35;1.12;0;0;1
-8.86;35;1.1400000000000001;0;0;1
-8.84;35;1.16;0;0;1
-8.82;35;1.18;0;0;1
-8.8;35;1.2;0;0;1
-8.78;35;1.22;0;0;1
-8.76;35;1.24;0;0;1
-8.74;35;1.26;0;0;1
-8.72;35;1.28;0;0;1
-8.7;35;1.3;0;0;1
-8.68;35;1.32;0;0;1
-8.66;35;1.34;0;0;1
-8.64;35;1.36;0;0;1
-8.62;35;1.3800000000000001;0;0;1
-8.6;35;1.4000000000000001;0;0;1
-8.58;35;1.42;0;0;1
-8.56;35;1.44;0;0;1
-8.54;35;1.46;0;0;1
-8.52;35;1.48;0;0;1
-8.5;35;1.5;0;0;1
-8.48;35;1.52;0;0;1
-8.46;35;1.54;0;0;1
-8.44;35;1.56;0;0;1
